EVENT_ID,CZ_NAME_STR,BEGIN_LOCATION,BEGIN_DATE,BEGIN_TIME,EVENT_TYPE,MAGNITUDE,TOR_F_SCALE,DEATHS_DIRECT,INJURIES_DIRECT,DAMAGE_PROPERTY_NUM,DAMAGE_CROPS_NUM,STATE_ABBR,CZ_TIMEZONE,MAGNITUDE_TYPE,EPISODE_ID,CZ_TYPE,CZ_FIPS,WFO,INJURIES_INDIRECT,DEATHS_INDIRECT,SOURCE,FLOOD_CAUSE,TOR_LENGTH,TOR_WIDTH,BEGIN_RANGE,BEGIN_AZIMUTH,END_RANGE,END_AZIMUTH,END_LOCATION,END_DATE,END_TIME,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,EVENT_NARRATIVE,EPISODE_NARRATIVE,ABSOLUTE_ROWNUMBER,,,,,,,,,,,,,
5627425,PICKENS CO.,EASLEY,1/7/1998,2110,Tornado, ,F2,0,4,3000000,0,SC,EST, ,2072423,C,77,GSP,0,0, , ,1.5,35,2,S, , ,EASLEY,1/7/1998,2115,34.8,-82.6,34.83,-82.6,A tornado developed from a fast moving severe thunderstorm that raced north out of eastern Georgia.  The F2 tornado destroyed several houses and mobile homes and severely damaged many other homes and businesses. Damage was sustained to the south of the track of the tornado due to strong inflow into the storm. Damage from severe thunderstorm winds in the rear flank downdraft occurred north into Easley.,"
A powerful winter storm brought flooding rain, high winds, and a tornado to the Upstate from the evening of the 7th into the early morning of the 8th. Rainfall between 4 and 7 inches during a 2-day period across the mountains and foothills resulted in significant flooding. Many roads and bridges were covered or washed out. A wash out in Pickens county resulted in one fatality. Thunderstorms raced north through the area adding to the deluge as well as creating or enhancing strong to damaging winds. An F2 tornado touched down near Easley. Meso-scale high winds behind the complex of thunderstorms moved across the northern half of Greenville county and blew down trees and power lines. Severe thunderstorm winds combined with strong gradient winds to down trees and power lines in York county as well.",13,,,,,,,,,,,,,
5629745,NEW HANOVER CO.,WILMINGTON,1/8/1998,901,Tornado, ,F1,0,3,175000,0,NC,EST, ,2072756,C,129,ILM,0,0, , ,0.2,10, , , , ,WILMINGTON,1/8/1998,902,34.23,-77.93,34.23,-77.93,"A GUSTNADO INDUCED BY MICROBURST, TOSSED A STATION WAGON 100FT, TIPPED A TRUCK ON IT'S SIDE A DAMAGED A CONVENIENCE STORE AND A MANUFACTURING PLANT ON 23RD STREET.",,14,,,,,,,,,,,,,
5627116,MIAMI-DADE CO.,MIAMI,1/8/1998,2015,Tornado, ,F0,0,0,30000,0,FL,EST, ,2072331,C,86,MFL,0,0, , ,0.1,125, , , , ,MIAMI,1/8/1998,2015,25.77,-80.2,25.77,-80.2,maximum winds estimated from 60 to 70 mph. tornado touched down near 900 sw 32 ave causing damage to mobile home park and pottery shop. trees and a fence were knocked down.,,15,,,,,,,,,,,,,
5628123,WOOD CO.,MURPHYTOWN,1/8/1998,2350,Tornado, ,F2,0,0,200000,0,WV,EST, ,2072381,C,107,RLX,0,0, , ,2,100,2,SE,1,NE,MURPHYTOWN,1/8/1998,2357,39.22,-81.42,39.23,-81.45,"One mobile home along Farrow Hill Road was completely destroyed.  Luckily, the owner was not at home.  One church sustained roof damage.  A side to a barn was ripped off.  An old farm house was damaged.  Some bark from a tree went through a cars windshield.  One van was pushed several yards.  Numerous trees were knocked down.  Nobody was injured.","
Rare January dew points, in the upper 50s and lower 60s on the 8th, along with strong winds aloft, helped trigger severe weather.  The  rains from the past few days were heavier in Ohio, and eventually caused minor river flooding along the mainstem of the Ohio River.  The high water was from the mouth of the Hocking River to the mouth of the Kanawha River.   The crest at Pt. Pleasant was 41.5 feet.  These levels closed some roads, parks, and parking lots, but did not reach into the towns.",16,,,,,,,,,,,,,
5638649,MARSHALL CO.,GRAYSVILLE,1/9/1998,120,Tornado, ,F1,0,0,75000,0,WV,EST, ,2074850,C,51,PBZ,0,0, , ,11,250,1,SE,1,S,LIMESTONE,1/9/1998,135,39.8,-80.78,39.92,-80.65,"A weak tornado tracked from south of Moundsville to just east of Moundsville in the early morning hours of January 9.  The tornado began approximately at 120 am and travelled northeast at 30 to 40 mph.  The tornado started around Fish Creek near Route 74. It moved between Route 44 and continued northeast crossing Route 17, Route 34 and ending just south of Limestone.  The first 8-9 miles of the path had continuous light to occasionally moderate damage.  The last few miles appeared to have fragmented damage.                                                            																				The width of the tornado path was approximately 250 yards.  About 17 homes were affected (mainly roof, chimney and siding damage).  Most of the homes were single family wood frame homes with about 5 mobile homes damaged.  There were at least 3 garages heavily damaged, 2 destroyed.  These garages were mostly cinder block and wood construction.  There was widespread tree damage along the path.  Most trees were snapped with a few uprooted.  Near Grave Creek, there were several acres on the side of a ridge that sustained major tree damage.  

Winds with this tornado were estimated to generally range from 55 to 75 mph.  However, in the Grave Creek area along Route 54, winds were estimated between 75 and 85 mph.  Golfball hail that covered the ground was also reported with this storm.  

One witness mentioned looking outside, only to see everything swirling about. Another witness heard the loud roar and immediately ran to the kitchen window. In a matter of seconds, his garage disappeared.  

Tornadoes are rare, especially in the early morning hours of January.",,17,,,,,,,,,,,,,
5627083,LOS ANGELES CO.,LONG BEACH,1/9/1998,1400,Tornado, ,F1,0,1,0,0,CA,PST, ,2072326,C,37,LOX,0,0, , ,1.5,10, , , , ,LONG BEACH,1/9/1998,1415,33.78,-118.17,33.78,-118.17,A small tornado swept through eastern sections of Long Beach. The tornado developed over Los Altos Park and travelled northeast to Studebaker Road. The most significant damage occurred to a Lucky's Supermarket where a 60 foot by 60 foot section of their roof collapsed. Also...Cubberley Elementary School lost a section of its roof. Other minor damage occurred from fallen trees and power lines. One minor injury was reported.,,18,,,,,,,,,,,,,
5627662,TITUS CO.,MT PLEASANT,1/11/1998,1559,Tornado, ,F1,0,0,0,0,TX,CST, ,2072212,C,449,SHV,0,0, , ,7.1,20,5,SW,6,SE,MT PLEASANT,1/11/1998,1617,33.12,-95.05,33.1,-94.92,HP Supercell developed along a slow moving northeast-southwest orientated cold front.  This supercell made a gradual transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 5 counties in 2 states.  Damage path extended from the eastern edge of Lake Bob Sandlin across wooded area.  Numerous limbs were either snapped or fallen and several dozen small trees were  pushed over.  The damage path was in a wooded region away from any population with no structures present.  Without a survey the tornado would have been unreported.,,19,,,,,,,,,,,,,
5627663,TITUS CO.,MT PLEASANT,1/11/1998,1604,Tornado, ,F1,0,0,0,0,TX,CST, ,2072213,C,449,SHV,0,0, , ,5.5,25,8,SSE,11,SE,MT PLEASANT,1/11/1998,1622,33.07,-94.93,33.07,-94.85,HP Supercell developed along a slow moving northeast-southwest orientated cold front.  This supercell made a gradual transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties.  Damage consisted of numerous snapped and fallen limbs.  Several dozen small trees were also flattened.  The damage path was in a wooded region away from any population with no structures present.  Without a survey the tornado would have been unreported.,,20,,,,,,,,,,,,,
5627664,MORRIS CO.,DAINGERFIELD,1/11/1998,1622,Tornado, ,F0,0,0,0,0,TX,CST, ,2072214,C,343,SHV,0,0, , ,1.1,20,6,NW,5,NW,DAINGERFIELD,1/11/1998,1626,33.1,-94.82,33.08,-94.82,HP supercell developed along a slow moving northeast-southwest orientated cold front.  This supercell made a gradual transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties.  Damage path consisted of snapped and fallen limbs.  The damage path was in a wooded region away from any population with no structures present.  Without a survey the tornado would have been unreported.,,21,,,,,,,,,,,,,
5628959,LEE CO.,GIDDINGS,1/11/1998,1630,Tornado, ,F1,0,0,80000,20000,TX,CST, ,1055320,C,287,EWX,0,0, , ,2.5,400,2,S,1,NE,GIDDINGS,1/11/1998,1638,30.15,-96.93,30.2,-96.92,"The tornado developed just south of Giddings, moving toward the northeast as it destroyed a barn and a mobile home.  The tornado crossed SH 290 and damaged a nursery along with several small sheds before dissipating.",,22,,,,,,,,,,,,,
5627665,CASS CO.,LINDEN,1/11/1998,1707,Tornado, ,F1,0,0,0,0,TX,CST, ,2072215,C,67,SHV,0,0, , ,7,25,8,E,10,SE,QUEEN CITY,1/11/1998,1730,33.02,-94.2,33.05,-94,HP supercell developed along a slow moving northeast-southwest orientated cold front.  This supercell made a gradual transition into a squall line with a line-echo wave pattern on Doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties.  Damage consisted  of numerous snapped and fallen trees.  Some oak trees had a bole of 6 feet however the ground was totally saturated and soft to great depths.  The damage path was in a wooded region away from any population with few structures present.  Without a survey the tornado would have been unreported.,,23,,,,,,,,,,,,,
5628960,LEE CO.,GIDDINGS,1/11/1998,1710,Tornado, ,F1,0,0,50000,0,TX,CST, ,1055320,C,287,EWX,0,0, , ,1,100,2,NE,3,NE,GIDDINGS,1/11/1998,1714,30.2,-96.92,30.22,-96.9,"A second tornado was spotted just northeast of Giddings by a Deputy Sheriff.  It also moved briefly northeastward, destroying a barn and fence.",,24,,,,,,,,,,,,,
5627666,MILLER CO.,RAVANNA,1/11/1998,1723,Tornado, ,F0,0,0,0,0,AR,CST, ,1055219,C,91,SHV,0,0, , ,3.9,20,1,SE,3,SE,BRIGHTSTAR,1/11/1998,1736,33.05,-94.02,33.08,-93.97,HP supercell moved northeast along a northeast-southwest orientated cold front.  This supercell was in a transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties with this system.  Damage consisted of numerous snapped and fallen small trees.  The damage path was in a wooded region away from any population with few structures present.,,25,,,,,,,,,,,,,
5627792,MILLER CO.,KIBLAH,1/11/1998,1732,Tornado, ,F0,0,0,0,0,AR,CST, ,2072216,C,91,SHV,0,0, , ,2.7,20,4,W,2,SW,DODDRIDGE,1/11/1998,1746,33.05,-93.97,33.07,-93.93,HP supercell moved northeast along a northeast-southwest orientated cold front.  This supercell was in a transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties with this system.  Damage consisted of numerous snapped and fallen small trees.  The damage path was in a wooded region away from any population with few structures present.,,26,,,,,,,,,,,,,
5627793,MILLER CO.,KIBLAH,1/11/1998,1733,Tornado, ,F0,0,0,0,0,AR,CST, ,2072217,C,91,SHV,0,0, , ,3.9,20,2,S,2,SE,SMITHVILLE,1/11/1998,1742,33.03,-93.9,33.03,-93.82,Remnants of an HP supercell moved eastward as it made a transition into a fast moving squall line.  A family of 6 weak tornadoes were produced across 2 states and 5 counties with this system.  Damage consisted of numerous snapped and fallen small trees.  The damage was in a wooded region away from any population with few structures present.,,27,,,,,,,,,,,,,
5627794,LAFAYETTE CO.,PLEASANT VLY,1/11/1998,1742,Tornado, ,F0,0,0,0,0,AR,CST, ,2072218,C,73,SHV,0,0, , ,1.9,20,3,SW,1,SW,PLEASANT VLY,1/11/1998,1746,33.07,-93.85,33.08,-93.83,Diminishing HP supercell moved eastward as it made a transition into a squall line with a line-echo wave pattern on doppler radar.  A family of 6 weak tornadoes were produced across 2 states and 5 counties with this system.,,28,,,,,,,,,,,,,
5627661,NATCHITOCHES PAR.,ROBELINE,1/12/1998,11,Tornado, ,F0,0,0,0,0,LA,CST, ,2072211,C,69,SHV,0,0, , ,0.7,20,4,S,6,SW,PROVENCAL,1/12/1998,14,31.62,-93.3,31.58,-93.28,Damage path consisted of numerous snapped and fallen limbs.  Several dozen small trees were also flattened in a convergent pattern toward the east.  The damage path was in a wooded region far from any population with no structures present.,,29,,,,,,,,,,,,,
5628978,EVANGELINE PAR.,EASTON,1/12/1998,300,Tornado, ,F1,0,0,150000,0,LA,CST, ,2072457,C,39,LCH,0,0, , ,1,20, , , , ,EASTON,1/12/1998,305,30.75,-92.42,30.75,-92.42,,"A tornado touched down in Easton, damaging several homes and cars. One mobile home was completely destroyed by the tornado, another home had a tree crash through it, and a third mobile home was moved off its blocks. A garage was also completely demolished, as well as two cars inside of it.",30,,,,,,,,,,,,,
5628986,CALCASIEU PAR.,SULPHUR,1/12/1998,445,Tornado, ,F0,0,0,50000,0,LA,CST, ,2072465,C,19,LCH,0,0, , ,0.5,10,10,N,10,N,SULPHUR,1/12/1998,445,30.38,-93.37,30.38,-93.37,,"A small tornado touched down north of Sulphur at a horse farm. One barn was destroyed, and a race horse inside was killed from flying debris. The storm was on the ground for less than one minute, and was observed by the farm owner.",31,,,,,,,,,,,,,
5628964,LEE CO.,DIME BOX,1/21/1998,1456,Tornado, ,F0,0,0,0,0,TX,CST, ,1055321,C,287,EWX,0,0, , ,0.2,100,2,W,2,W,DIME BOX,1/21/1998,1458,30.35,-96.85,30.35,-96.85,A short-lived tornado was sighted by the public just west of Dime Box.  No damage was reported.,,32,,,,,,,,,,,,,
5628965,LEE CO.,LEXINGTON,1/21/1998,1507,Tornado, ,F0,0,0,0,0,TX,CST, ,1055321,C,287,EWX,0,0, , ,0.2,50,8,NE,8,NE,LEXINGTON,1/21/1998,1509,30.5,-96.9,30.5,-96.9,A second short-lived tornado was sighted just northeast of Lexington by several members of the public.,,33,,,,,,,,,,,,,
5629129,LEE CO.,DIME BOX,1/21/1998,1509,Tornado, ,F1,0,0,80000,10000,TX,CST, ,1055321,C,287,EWX,0,0, , ,1,400, , ,1,E,DIME BOX,1/21/1998,1514,30.35,-96.82,30.35,-96.8,"A third tornado touched down near Dime Box.  It was spotted by a constable who reported that it destroyed a barn and several sheds across a city block, taking off tin roofs. tossing lumber about and knocking down fences.",,34,,,,,,,,,,,,,
5629130,LEE CO.,LEXINGTON,1/21/1998,1512,Tornado, ,F0,0,0,0,0,TX,CST, ,1055321,C,287,EWX,0,0, , ,0.2,50,5,N,5,N,LEXINGTON,1/21/1998,1515,30.48,-97,30.48,-97,"A final, very short-lived tornado was spotted by a Sheriff's Deputy just north of Lexington.",,35,,,,,,,,,,,,,
5627864,JACKSON CO.,LA SALLE,1/21/1998,1540,Tornado, ,F0,0,0,0,0,TX,CST, ,1055603,C,239,HGX,0,0, , ,0.1,25, , , , ,LA SALLE,1/21/1998,1541,28.78,-96.67,28.78,-96.67,Union Pacific Railroad officials reported brief tornado touchdown on the railroad tracks.  No damage reported.,,36,,,,,,,,,,,,,
5630097,LEON CO.,NORMANGEE,1/21/1998,1635,Tornado, ,F0,0,0,0,0,TX,CST, ,2072636,C,289,FWD,0,0, , ,0.1,30,3,NW,3,NW,NORMANGEE,1/21/1998,1636,31.07,-96.15,31.07,-96.15,A brief tornado touchdown was reported.,,37,,,,,,,,,,,,,
5628340,BRAZOS CO.,MILLICAN,1/21/1998,1644,Tornado, ,F0,0,0,35000,0,TX,CST, ,1055603,C,41,HGX,0,0, , ,3,50,3,WNW,1,E,MILLICAN,1/21/1998,1650,30.48,-96.23,30.47,-96.18,"Tornado broke and lifted 2-by-6's off a barn roof 2.5 WSW Millican.  As the tornado reached Millican, it tore a front porch of a house off, and also peeled a house and barn roof off.",,38,,,,,,,,,,,,,
5628339,MADISON CO.,MADISONVILLE,1/21/1998,1725,Tornado, ,F0,0,0,250000,0,TX,CST, ,1055603,C,313,HGX,0,0, , ,1,50,9,NNW,10,N,MADISONVILLE,1/21/1998,1728,31.07,-95.93,31.1,-95.88,Tornado tore roof off Yellow Rose Cattle Company Restaurant at OSR & I-45.,,39,,,,,,,,,,,,,
5630099,LEON CO.,LEONA,1/21/1998,1728,Tornado, ,F1,0,1,50000,0,TX,CST, ,2072636,C,289,FWD,0,0, , ,0.5,40,4,S,4,S,LEONA,1/21/1998,1732,31.1,-95.97,31.1,-95.97,"A tornado severely damaged the roof of a restaurant.  The manager of the restaurant, who was inside the building at the time, received minor injuries.",,40,,,,,,,,,,,,,
5628342,GRIMES CO.,RICHARDS,1/21/1998,1729,Tornado, ,F0,0,0,5000,0,TX,CST, ,1055603,C,185,HGX,0,0, , ,0.5,75, , ,1,E,RICHARDS,1/21/1998,1731,30.53,-95.85,30.53,-95.83,"Tornado downed trees and powerlines in Richards.  As the tornado moved into Montgomery County along FM 149, a barn roof was damaged 3 miles east of Richards, and a tree limb was blown through the metal on a car door.  The storm continued moving to the east-northeast downing trees to the Mongomery/Walker County line near FM1791.",,41,,,,,,,,,,,,,
5627629,MONTGOMERY CO.,DOBBIN,1/21/1998,1734,Tornado, ,F0,0,0,10000,0,TX,CST, ,1055603,C,339,HGX,0,0, , ,6.5,75,14,NNW,11,N,MONTGOMERY,1/21/1998,1746,30.55,-95.83,30.55,-95.68,"Tornado moved in from Grimes County along FM 149.  Barn roof damaged 3 miles east of Richards, tree limb blown through metal of a car door.  Storm continued moving east-northeast downing trees to the Montgomery/Walker County line near FM 1791.",,42,,,,,,,,,,,,,
5628343,WALKER CO.,NEW WAVERLY,1/21/1998,1749,Tornado, ,F1,0,0,200000,200000,TX,CST, ,1055603,C,471,HGX,0,0, , ,3,200,10,W,7,W,NEW WAVERLY,1/21/1998,1810,30.53,-95.67,30.53,-95.62,"Tornado continued from the Montgomery/Walker County line moving to the east-northeast through Sam Houston National Forest.  This tornado snapped numerous trees along its path, some 18 inches in diameter.  Timber loss was estimated at $200,000.  Most significant number of trees down along FR 208 & 208A.  In addition to downed trees, numerous camping shelters were destroyed in Huntsville State Park causing that area of the forest to be closed to campers for weeks.",,43,,,,,,,,,,,,,
5631053,JEFF DAVIS CO.,HAZELHURST,1/22/1998,1830,Tornado, ,F0,0,0,15000,0,GA,EST, ,2072699,C,161,JAX,0,0, , ,0.1,20,6,SW,6,SW,HAZELHURST,1/30/1998,1830,31.8,-82.67,31.8,-82.67,,"Two sheds were destroyed, with debris carried across both sides of Alma Highway.",44,,,,,,,,,,,,,
5634340,CHARLOTTE CO.,GROVE CITY,1/23/1998,815,Tornado, ,F0,0,0,100000,0,FL,EST, ,2073687,C,15,TBW,0,0, , ,0.6,40, , , , ,GROVE CITY,1/23/1998,815,26.92,-82.32,26.92,-82.32,"A waterspout moved onshore as a tornado and destroyed two mobile homes and damaged up to another 25 at the Indigo Mobile Home Park near State Road 775 and Grove Road.  Most of the damage was carport, pool cage, torn aluminum siding and shed damage along Emerald and Amber Streets in the Indigo Mobile Home Park.",,45,,,,,,,,,,,,,
5634342,SARASOTA CO.,NORTH PORT,1/23/1998,915,Tornado, ,F0,0,0,5000,0,FL,EST, ,2073689,C,115,TBW,0,0, , ,0.1,5, , , , ,NORTH PORT,1/23/1998,915,27,-82.07,27,-82.07,"A short lived tornado touched down along Kaayan Street between Price and Norlendale Boulevards and downed several power lines, snapped tree tops and blew down stop signs before it lifted and dissipated.",,46,,,,,,,,,,,,,
5634436,HILLSBOROUGH CO.,TAMPA,1/23/1998,925,Tornado, ,F0,0,0,75000,0,FL,EST, ,2073690,C,57,TBW,0,0, , ,0.9,10,6,N,7,N,TAMPA,1/23/1998,930,28.07,-82.47,28.08,-82.47,"A tornado sporatically touched down along a nearly one mile path from Linebaugh Avenue and 18th Street N. northeast across 22nd Street N. and lifted at 112 Avenue and 27th Street N.  The tornado caused moderate shingle damage to three homes and caused minor damage to 22 additional homes.

The tornado caused minor siding damage to portable classrooms at the Belle Witter Elementary school at the intersections of 109th Avenue and 22nd Street N.  Several trees, power poles and lines were downed before the tornado lifted and dissipated.",,47,,,,,,,,,,,,,
5634551,HIGHLANDS CO.,AVON PARK,1/23/1998,945,Tornado, ,F0,0,0,10000,0,FL,EST, ,2073691,C,55,TBW,0,0, , ,0.3,10,2,S,2,S,AVON PARK,1/23/1998,945,27.57,-81.52,27.57,-81.52,A tornado briefly touched down and blew over five to seven toppers at a recreational vehicle dealership along U.S. Highway 27 before it lifted and dissipated.,,48,,,,,,,,,,,,,
5628301,SAN DIEGO CO.,ENCINITAS,1/29/1998,1112,Tornado, ,F1,0,0,0,0,CA,PST, ,2072392,C,73,SGX,0,0, , ,0.5,40, , , , ,ENCINITAS,1/29/1998,1116,33.05,-117.3,33.05,-117.3,,"Moderate to heavy showers ahead of a cold front spawned a waterspout, which moved onshore at Encinitas.  It travelled up A"" Street", before making a left turn, and hit several businesses.  The twister tossed an 800 pound dumpster across a parking lot, where it slammed into a camper truck, tore the fiberglass roof off of an auto repair shop, ripped down signs," and snapped flag poles.""",49,,,,,,,
5634206,MONROE CO.,MARATHON,2/2/1998,1847,Tornado, ,F1,0,0,20000000,0,FL,EST, ,2073406,C,87,MFL,0,0, , ,1,50, , , , ,MARATHON,2/2/1998,1850,24.7,-81.08,24.7,-81.08,Tornado moved from south across Grassy Key near MM 56.5.,"
  ...a developing low pressure over the north gulf of mexico resulted in a tightening pressure gradient over south florida and adjacent waters. Southeast winds sustained at gale force with higher gusts occurred through most of 02/02/98. A pre-frontal trough of low pressure developed over the southeastern gulf of mexico early 02/02/98. This resulted in a highly unstable airmass which was lifted by strong mid and upper level jets by late afternoon. Tornado and severe thunderstorm producing storms moved through the florida keys between 1530
And 1930 est. The thunderstorms moved over south florida between 1930 and 2130 est.  The culmination of gail force winds...several severe thunderstorms and two tornadoes resulted in widespread damage in the florida keys. Trees...power lines and light poles were down most locations south of key largo. Some minor coastal flooding occurred. Boats were capsized and docks were damaged. A support buoy for an underwater lab was dislodged and drifted ashore. Fema reported one house completely destroyed and 23 homes damaged. Several businesses were damaged. Extensive damage occurred to the fishing industry primarilly loss of lobster traps.",50,,,,,,,,,,,,,
